,domain,path,label,length,url_length,redirection,character_@,dots_in_host_name,dots_in_path,keyword,hyphen
0,facebook.com,martin.paul,good,24,0,0,0,0,0,0,0
1,mikworks.com,originalwork/footballers/,good,38,0,0,0,0,0,0,0
2,upi.com,Top_News/US/2010/12/19/Transbay-Tube-down-to-one-track/UPI-41321292812313/,good,82,1,0,0,0,0,0,0
3,evri.com,person/thomas-dagworth-0x9f71d,good,39,0,0,0,0,0,0,0
4,eastbay.citysearch.com,profile/1033557/berkeley_ca/skates_on_the_bay.html,good,73,1,0,0,0,0,0,0
5,dancesportgrandprix.com,,good,24,0,0,0,0,0,0,0
6,ryanpattencomposer.com,?page_id=4,good,33,0,0,0,0,0,0,0
7,andrewhickey.info,2010/07/03/al-jardine-a-postcard-from-california/,good,67,1,0,0,0,0,0,0
8,bailatango.com,ny/Bios.htm,good,26,0,0,0,0,0,0,0
9,collegefootballtalk.nbcsports.com,2011/09/07/predictions-101-week-2/,good,68,1,0,0,0,0,0,0
10,surubiproducciones.com,wp/wp-includes/ID3/1/noa/art/new/LoginVerification.php,bad,77,1,0,0,0,0,0,0
11,www.polyhedric.com,software/wavmaker/,good,37,0,0,0,0,0,0,0
12,www.paypal.ca.4253.secure3g.mx,images/cgi.bin/ca/web.scr/?cmnd=_lg&nav=314395249c301f941e4bbc65fbe490bd,bad,103,1,0,0,1,0,1,0
13,tools.ietf.org,html/rfc1163,good,27,0,0,0,0,0,0,0
14,sunshinereview.org,index.php/Jackson_County%2C_Missouri,good,55,2,0,0,0,0,0,0
15,hkcyalvem.pw,checkupdate,bad,24,0,0,0,0,0,0,0
16,kcphotoblog.com,index.php?showimage=39,good,38,0,0,0,0,0,0,0
17,hieroglyphicsemporium.bigcartel.com,,good,36,0,0,0,0,0,0,0
18,docstoc.com,docs/47009423/Download---MECHTRONIX-TO-PROVIDE-B737NG-FULL-FLIGHT-SIMULATOR-TO---rossir24-0004,good,106,1,0,0,0,0,0,0
19,worldtravelguide.net,canada/quebec/montreal-pierre-elliott-trudeau-international-airport,good,88,1,0,0,0,0,0,0
20,facebook.com,pages/Dolly-Partons-Imagination-Library-of-Allen-County-Ohio/164098206953822,good,89,1,0,0,0,0,0,0
21,www.xlsoft.com,en/products/home_personal/stickerpix/about-stickerpix.html,good,73,1,0,0,0,0,0,0
22,www.royallink.lixter.com,post.php,bad,33,0,0,0,0,0,0,0
23,cduniverse.com,productinfo.asp?pid=8441545,good,42,0,0,0,0,0,0,0
24,alltheshinythings.com,~wizard/BankOfAmerica/BOA/ban/,bad,52,2,0,0,0,0,0,0
25,facebook.com,Lisa.T.Hamilton87,good,30,0,0,0,0,0,0,0
26,extremedodgeballhamilton.com,,good,29,0,0,0,0,0,0,0
27,torontosun.com,2011/07/28/new-world-class-water-monitoring-system-in-oilsands-no-thanks-to-tories-grits,good,103,1,0,0,0,0,0,0
28,tripadvisor.com,Hotels-g147328-Fort_de_France_Martinique-Hotels.html,good,68,1,0,0,0,0,0,0
